title,field_vcpu|value,field_memory|value,field_storage|value,field_dedicated_ebs_bandwidth|value,field_networking_performance
m5.large,2,8,EBS-only,"Up to 3,500","Up to 10"
m5.xlarge,4,16,EBS-only,"Up to 3,500","Up to 10"
m5.2xlarge,8,32,EBS-only,"Up to 3,500","Up to 10"
m5.4xlarge,16,64,EBS-only,"3,500","Up to 10"
c5.large,2,4,EBS-Only,"Up to 3,500","Up to 10"
c5.xlarge,4,8,EBS-Only,"Up to 3,500","Up to 10"
c5.2xlarge,8,16,EBS-Only,"Up to 3,500","Up to 10"
c5.4xlarge,16,32,EBS-Only,"3,500","Up to 10"
c5.9xlarge,36,72,EBS-Only,"7,000","10"
r5.large,2,16,EBS-Only,"up to 3,500","Up to 10"
r5.xlarge,4,32,EBS-Only,"up to 3,500","Up to 10"
r5.2xlarge,8,64,EBS-Only,"up to 3,500","Up to 10"
r5.4xlarge,16,128,EBS-Only,"3,500","Up to 10"
r5.12xlarge,48,384,EBS-Only,"7,000","10"
r5.24xlarge,96,768,EBS-Only,"14,000","25"